user_id,email,first_name,last_name,date_of_birth,registration_date,country,city,tier,is_active,last_login
592f1ad1-1a05-4483-b9d7-8c9381a4f05b,bsparks@example.com,Nancy,English,1950-06-22,2024-09-22 23:36:41,Mauritania,Roachmouth,bronze,True,2024-10-16 06:46:27
87d68385-37ef-49cd-a4f3-35434872623e,ymiller@example.com,Stephen,Johnson,2007-05-18,2025-01-08 22:55:45,Solomon Islands,Lake Cynthia,bronze,True,2025-03-05 19:11:52
bc7b64ba-e9cb-4be1-825b-ca21bf21d329,ssmith@example.com,Christopher,Rasmussen,1957-03-12,2024-03-11 00:45:12,Cyprus,Thomasstad,gold,True,2024-05-19 18:52:10
e1dbcfe2-900e-46b9-99f4-5b36d82ddc1c,rhonda56@example.net,Jennifer,Rivera,1982-07-12,2024-08-18 08:57:38,Niger,East Matthewmouth,bronze,False,
d5bd8c89-57ac-459f-aa97-62cdbc3f47b8,gregory76@example.org,Andrea,Smith,2003-12-07,2024-08-16 17:54:57,Macao,East Kevin,silver,True,2025-02-08 20:58:09
5d99890b-67b3-4dee-8e52-de100b522cb9,ericawalter@example.com,Cassandra,Walls,1993-09-15,2025-02-16 08:10:55,Lesotho,Salinasstad,gold,True,2025-03-21 03:15:58
88b2f469-01ed-432c-b3e8-c4249f8b56fe,ellisonrandall@example.org,Jessica,Miller,1946-12-20,2025-05-26 22:46:32,Cocos (Keeling) Islands,Lake Jason,bronze,False,
8a390f23-f7b2-4ccf-a1a5-1e9801a789ec,maria06@example.com,Mark,Willis,1987-03-06,2024-01-14 04:13:17,Myanmar,Lake Markside,bronze,False,
bee89a0f-a869-489a-a4ed-e370c523b269,linda61@example.org,John,Short,1977-12-12,2023-11-08 01:59:19,Turks and Caicos Islands,Michaelmouth,bronze,False,
fa8e0f7d-606b-42d3-9338-798598c894c0,robyngonzales@example.org,Anthony,Bowen,1979-10-24,2023-09-02 12:54:53,Belize,Josephbury,bronze,True,2024-05-04 13:42:07
e36deb67-6086-4424-b0d0-60feb6e63c58,mcooley@example.org,Nicole,Erickson,1952-04-29,2024-06-30 14:23:56,Thailand,New Christopher,silver,True,2025-01-28 23:17:42
7706d9d2-4e8e-497e-95e1-64e11967e16a,jacksonelizabeth@example.com,Jenna,Crawford,1987-12-20,2024-03-16 07:04:31,Philippines,North Amandaville,bronze,True,2025-01-02 08:00:59
573978a8-d57b-4896-a8bd-2efc765d9526,johnny37@example.org,Justin,Foley,1989-08-15,2024-10-01 16:36:38,Uruguay,North Michellefort,bronze,True,2025-03-30 15:45:48
2e39e8f5-e99c-4ffb-8e1a-526a1ba43054,mary00@example.net,Vicki,Cruz,1984-07-31,2024-06-11 00:24:12,Zimbabwe,South Keith,platinum,True,2025-06-05 18:50:38
2852c15b-480c-410a-b89f-576e6fb9c5d2,christopher17@example.com,Lisa,Mitchell,2003-08-21,2024-10-14 19:10:08,Chad,Robertsburgh,bronze,True,2024-11-17 12:53:21
ba431422-fedb-4f6d-860c-bb94701120fd,younghannah@example.org,Robert,Brown,1954-01-07,2023-11-24 12:36:28,Iceland,Johnsonburgh,bronze,False,
dd482bfb-7d40-4553-8644-f0a13bc6a439,deniseritter@example.com,Linda,Wilcox,1970-10-11,2023-08-27 07:17:57,Uzbekistan,South Tina,platinum,True,2025-05-21 17:19:07
b7bc4229-67d2-4721-9fa3-13eba7cab815,richard04@example.net,Rachel,Cooke,2000-09-18,2023-09-07 06:24:58,Iran,Marcusfurt,bronze,True,2024-12-12 09:06:11
4e46253c-dde0-46be-9c64-2de19eef84d0,amandadunn@example.org,Tonya,Todd,1948-04-07,2024-08-24 22:31:54,United States Virgin Islands,Port James,silver,False,
4eaee271-91cb-4d56-b145-fa4f762372ad,wmartinez@example.org,Kathleen,Young,1955-03-21,2025-02-25 00:55:09,Spain,Cunninghambury,bronze,True,2025-04-29 17:32:22
f15b83c7-ff3c-4c0e-9af7-0d198d4db1a1,vegachristopher@example.com,Theresa,Cohen,1989-06-18,2023-10-15 22:45:54,Togo,Lake Christopherhaven,silver,True,2025-01-01 03:02:00
02019077-f7a6-4dec-ac32-89096d10aac6,marissabecker@example.org,Debbie,Smith,1971-05-26,2025-06-26 23:01:57,France,Lake Earl,gold,True,2025-07-11 18:58:36
39726a74-8ae5-4831-a36e-560344917990,judychristian@example.com,Nina,Lucero,1977-10-18,2024-04-05 13:53:37,Congo,Lake Brianfort,bronze,False,
566cf720-8791-4b44-837a-187d0b5ea884,bgreen@example.net,Danielle,Robbins,1960-05-17,2024-11-24 20:13:06,Cameroon,Jamesport,silver,True,2025-01-16 20:09:01
25f4a622-637b-4ad7-b651-7347b5b51f87,ipatel@example.com,Patricia,Armstrong,1975-05-23,2024-07-28 01:05:57,Chad,Johnsonton,bronze,True,2025-06-05 08:56:36
4339e03e-cb98-4086-9aec-161acedf662e,tylerhughes@example.org,Luis,Garner,1986-05-13,2025-05-19 08:37:46,United States Minor Outlying Islands,Clintonport,bronze,True,2025-07-06 08:15:24
4be67afa-37c9-4d81-b2d0-7b439999a33f,sirwin@example.com,Jill,Berg,1976-06-19,2024-05-18 16:16:42,Western Sahara,Whiteburgh,silver,True,2025-03-02 22:50:16
77c9e145-4a83-4ff8-b8a5-bac7a58af52f,caitlin06@example.com,Larry,Casey,1986-11-18,2023-09-17 20:23:05,Nigeria,Port Hunter,silver,False,
fc5fc9fe-a3b8-4b9d-83ab-d08cc3c1c5af,jessicaking@example.com,Samantha,Berry,1950-01-26,2025-03-21 18:46:08,Malta,Hudsonchester,bronze,False,
c83233b0-38b1-49a0-b2c8-d4e7fb511946,xmueller@example.net,Christy,Hawkins,1982-08-18,2025-02-25 15:03:51,Cayman Islands,North Tanya,bronze,True,2025-05-22 16:22:04
c66c5f1e-e8ed-4e94-b7fc-268a37dce340,ashley59@example.org,Richard,Price,2002-10-17,2023-09-22 07:30:03,Jamaica,Lake Marialand,bronze,True,2024-12-29 05:53:11
e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,karenflores@example.com,Rachel,Porter,1972-10-04,2023-10-17 20:47:38,Martinique,North Melissa,bronze,True,2025-06-04 04:21:44
dd48b32a-3abc-4744-8aa4-f4c74d43df72,todd25@example.com,Donald,Johnson,2000-12-30,2025-04-09 11:55:07,Malta,Jasminefort,silver,True,2025-06-21 21:54:27
ae62e9a8-e458-48ec-9026-2ce0286b05f7,ricardoanderson@example.com,Anthony,Chan,1947-03-26,2024-06-24 22:00:11,Martinique,Jimborough,silver,True,2025-02-15 09:03:18
e81ca5a6-7d2f-4515-9ac0-6c20109a10de,leslie98@example.com,Brian,Bradshaw,1991-10-17,2023-11-12 19:45:51,Malta,New Brittneyhaven,bronze,True,2024-02-01 13:06:11
be890dda-2548-4000-a0f7-b75c79deb0bd,ashleytaylor@example.com,Jasmine,Davis,1963-02-18,2023-07-20 16:13:54,Palau,Brendaview,bronze,True,2024-09-03 21:10:32
8187b5ab-1bda-4616-9f61-bf560c2c8862,conwaysean@example.com,Erin,Herrera,1976-06-24,2024-08-14 21:26:08,French Polynesia,New Randall,silver,True,2025-04-03 17:54:16
ae899a87-2f97-452b-9e42-db48a96c5ad4,hdavis@example.org,Darren,Richardson,1997-08-16,2024-05-18 06:34:55,Grenada,East Melanie,gold,True,2024-12-13 12:35:08
5fe07f88-33d3-4d93-ae8b-0fab1fbbba82,greenangela@example.net,April,Patrick,1993-02-24,2023-11-30 06:07:50,Thailand,Lake James,bronze,True,2024-06-12 19:33:35
06145caa-be50-4534-a56a-bf32edfcd9ed,rogersbridget@example.net,David,Austin,2001-12-18,2024-07-11 18:18:30,Denmark,Hartmanfurt,gold,True,2024-08-21 22:04:57
061d96cf-aa16-4e44-ab52-88d9f63a24f5,michellemunoz@example.org,Jennifer,Joseph,1959-08-17,2024-07-09 04:19:17,Latvia,Christophershire,bronze,True,2024-07-29 02:18:58
2b5f3b35-30ca-4b1e-a12a-1e6849372ad2,wendy47@example.com,Lori,Green,1975-08-02,2023-09-05 21:14:07,United States Virgin Islands,Michaelborough,silver,True,2024-09-11 11:01:21
8d50b77e-ec6c-4602-b141-174ee1887934,kayla83@example.com,Olivia,Jimenez,1996-07-15,2024-11-26 13:31:35,Serbia,Debrafurt,bronze,True,2025-06-15 10:24:59
483dc545-4793-4723-8201-61a007538c1c,chapmancory@example.org,Carlos,Bentley,1979-08-09,2024-02-15 19:21:53,Bouvet Island (Bouvetoya),East Maria,silver,True,2025-02-22 18:05:54
710b10e9-5900-4ad7-8c89-d00951a887ea,greenerin@example.net,James,Hernandez,1954-12-12,2023-09-09 14:58:03,Tuvalu,Davidstad,bronze,True,2024-11-09 21:28:47
